label                                                                   backgroundColor                                data
"Afghanistan  (South Asia)"                                             "rgba(155,155,155,0.3)"                        [{x:0.53,y:0.046,r:3}]
"Angola  (Sub-Saharan Africa)"                                          "rgba(255,85,0,0.3)"                           [{x:1000000000,y:0.104,r:3}]
"Albania  (Europe & Central Asia)"                                      "rgba(201,192,255,0.3)"                        [{x:1000000000,y:1.258,r:3}]
"United Arab Emirates  (Middle East & North Africa)"                    "rgba(82,238,65,0.3)"                          [{x:1000000000,y:0.118,r:3}]
"Argentina  (Latin America & Caribbean)"                                "rgba(149,244,250,0.3)"                        [{x:1000000000,y:2.367,r:3}]
"Antigua and Barbuda  (Latin America & Caribbean)"                      "rgba(149,244,250,0.3)"                        [{x:1000000000,y:0.67,r:3}]
"Australia  (East Asia & Pacific)"                                      "rgba(255,192,226,0.3)"                        [{x:18.56,y:8.582,r:3}]
"Austria  (Europe & Central Asia)"                                      "rgba(201,192,255,0.3)"                        [{x:6.59,y:4.373,r:3}]
"Belgium  (Europe & Central Asia)"                                      "rgba(201,192,255,0.3)"                        [{x:11.65,y:9.941,r:3}]
"Benin  (Sub-Saharan Africa)"                                           "rgba(255,85,0,0.3)"                           [{x:0.22,y:0.066,r:3}]
"Burkina Faso  (Sub-Saharan Africa)"                                    "rgba(255,85,0,0.3)"                           [{x:0.33,y:0.009,r:3}]
"Bulgaria  (Europe & Central Asia)"                                     "rgba(201,192,255,0.3)"                        [{x:1000000000,y:2.833,r:3}]
"Bahrain  (Middle East & North Africa)"                                 "rgba(82,238,65,0.3)"                          [{x:1000000000,y:3.542,r:3}]
"Bahamas, The  (Latin America & Caribbean)"                             "rgba(149,244,250,0.3)"                        [{x:0.16,y:3.749,r:3}]
"Belize  (Latin America & Caribbean)"                                   "rgba(149,244,250,0.3)"                        [{x:0.02,y:0.477,r:3}]
"Bermuda  (North America)"                                              "rgba(247,255,0,0.3)"                          [{x:0.08,y:3.551,r:3}]
"Bolivia  (Latin America & Caribbean)"                                  "rgba(149,244,250,0.3)"                        [{x:0.56,y:0.272,r:3}]
"Brazil  (Latin America & Caribbean)"                                   "rgba(149,244,250,0.3)"                        [{x:15.16,y:0.647,r:3}]
"Barbados  (Latin America & Caribbean)"                                 "rgba(149,244,250,0.3)"                        [{x:1000000000,y:0.746,r:3}]
"Brunei Darussalam  (East Asia & Pacific)"                              "rgba(255,192,226,0.3)"                        [{x:1000000000,y:4.078,r:3}]
"Canada  (North America)"                                               "rgba(247,255,0,0.3)"                          [{x:41.09,y:10.77,r:3}]
"Switzerland  (Europe & Central Asia)"                                  "rgba(201,192,255,0.3)"                        [{x:9.52,y:3.664,r:3}]
"Chile  (Latin America & Caribbean)"                                    "rgba(149,244,250,0.3)"                        [{x:4.05,y:1.753,r:3}]
"China  (East Asia & Pacific)"                                          "rgba(255,192,226,0.3)"                        [{x:59.71,y:1.17,r:3}]
"Cote d'Ivoire  (Sub-Saharan Africa)"                                   "rgba(255,85,0,0.3)"                           [{x:0.54,y:0.132,r:3}]
"Cameroon  (Sub-Saharan Africa)"                                        "rgba(255,85,0,0.3)"                           [{x:0.61,y:0.05,r:3}]
"Congo, Dem. Rep.  (Sub-Saharan Africa)"                                "rgba(255,85,0,0.3)"                           [{x:3.35,y:0.152,r:3}]
"Congo, Rep.  (Sub-Saharan Africa)"                                     "rgba(255,85,0,0.3)"                           [{x:0.13,y:0.22,r:3}]
"Colombia  (Latin America & Caribbean)"                                 "rgba(149,244,250,0.3)"                        [{x:4.04,y:0.995,r:3}]
"Comoros  (Sub-Saharan Africa)"                                         "rgba(255,85,0,0.3)"                           [{x:1000000000,y:0.058,r:3}]
"Cabo Verde  (Sub-Saharan Africa)"                                      "rgba(255,85,0,0.3)"                           [{x:1000000000,y:0.108,r:3}]
"Costa Rica  (Latin America & Caribbean)"                               "rgba(149,244,250,0.3)"                        [{x:0.5,y:0.368,r:3}]
"Cuba  (Latin America & Caribbean)"                                     "rgba(149,244,250,0.3)"                        [{x:1000000000,y:1.918,r:3}]
"Cayman Islands  (Latin America & Caribbean)"                           "rgba(149,244,250,0.3)"                        [{x:1000000000,y:1.398,r:3}]
"Cyprus  (Europe & Central Asia)"                                       "rgba(201,192,255,0.3)"                        [{x:1000000000,y:1.548,r:3}]
"Djibouti  (Middle East & North Africa)"                                "rgba(82,238,65,0.3)"                          [{x:1000000000,y:0.482,r:3}]
"Dominica  (Latin America & Caribbean)"                                 "rgba(149,244,250,0.3)"                        [{x:1000000000,y:0.183,r:3}]
"Denmark  (Europe & Central Asia)"                                      "rgba(201,192,255,0.3)"                        [{x:6.24,y:6.502,r:3}]
"Dominican Republic  (Latin America & Caribbean)"                       "rgba(149,244,250,0.3)"                        [{x:0.67,y:0.316,r:3}]
"Algeria  (Middle East & North Africa)"                                 "rgba(82,238,65,0.3)"                          [{x:2.72,y:0.553,r:3}]
"Ecuador  (Latin America & Caribbean)"                                  "rgba(149,244,250,0.3)"                        [{x:1.01,y:0.388,r:3}]
"Egypt, Arab Rep.  (Middle East & North Africa)"                        "rgba(82,238,65,0.3)"                          [{x:1000000000,y:0.593,r:3}]
"Spain  (Europe & Central Asia)"                                        "rgba(201,192,255,0.3)"                        [{x:12.07,y:1.606,r:3}]
"Ethiopia  (Sub-Saharan Africa)"                                        "rgba(255,85,0,0.3)"                           [{x:1000000000,y:0.015,r:3}]
"Finland  (Europe & Central Asia)"                                      "rgba(201,192,255,0.3)"                        [{x:5.22,y:3.409,r:3}]
"Fiji  (East Asia & Pacific)"                                           "rgba(255,192,226,0.3)"                        [{x:0.11,y:0.494,r:3}]
"France  (Europe & Central Asia)"                                       "rgba(201,192,255,0.3)"                        [{x:62.65,y:5.793,r:3}]
"Faroe Islands  (Europe & Central Asia)"                                "rgba(201,192,255,0.3)"                        [{x:1000000000,y:1.712,r:3}]
"Gabon  (Sub-Saharan Africa)"                                           "rgba(255,85,0,0.3)"                           [{x:0.14,y:0.264,r:3}]
"United Kingdom  (Europe & Central Asia)"                               "rgba(201,192,255,0.3)"                        [{x:72.32,y:11.15,r:3}]
"Ghana  (Sub-Saharan Africa)"                                           "rgba(255,85,0,0.3)"                           [{x:1.21,y:0.219,r:3}]
"Gibraltar  (Europe & Central Asia)"                                    "rgba(201,192,255,0.3)"                        [{x:1000000000,y:2.214,r:3}]
"Guinea  (Sub-Saharan Africa)"                                          "rgba(255,85,0,0.3)"                           [{x:1000000000,y:0.114,r:3}]
"Gambia, The  (Sub-Saharan Africa)"                                     "rgba(255,85,0,0.3)"                           [{x:1000000000,y:0.049,r:3}]
"Greece  (Europe & Central Asia)"                                       "rgba(201,192,255,0.3)"                        [{x:4.44,y:1.128,r:3}]
"Grenada  (Latin America & Caribbean)"                                  "rgba(149,244,250,0.3)"                        [{x:1000000000,y:0.244,r:3}]
"Greenland  (Europe & Central Asia)"                                    "rgba(201,192,255,0.3)"                        [{x:1000000000,y:6.882,r:3}]
"Guatemala  (Latin America & Caribbean)"                                "rgba(149,244,250,0.3)"                        [{x:1.04,y:0.326,r:3}]
"Guyana  (Latin America & Caribbean)"                                   "rgba(149,244,250,0.3)"                        [{x:0.17,y:1.169,r:3}]
"Honduras  (Latin America & Caribbean)"                                 "rgba(149,244,250,0.3)"                        [{x:0.33,y:0.307,r:3}]
"Haiti  (Latin America & Caribbean)"                                    "rgba(149,244,250,0.3)"                        [{x:1000000000,y:0.073,r:3}]
"Hungary  (Europe & Central Asia)"                                      "rgba(201,192,255,0.3)"                        [{x:1000000000,y:4.544,r:3}]
"Indonesia  (East Asia & Pacific)"                                      "rgba(255,192,226,0.3)"                        [{x:1000000000,y:0.243,r:3}]
"India  (South Asia)"                                                   "rgba(155,155,155,0.3)"                        [{x:37.67,y:0.268,r:3}]
"Ireland  (Europe & Central Asia)"                                      "rgba(201,192,255,0.3)"                        [{x:1.93,y:3.952,r:3}]
"Iran, Islamic Rep.  (Middle East & North Africa)"                      "rgba(82,238,65,0.3)"                          [{x:4.19,y:1.706,r:3}]
"Iraq  (Middle East & North Africa)"                                    "rgba(82,238,65,0.3)"                          [{x:1.68,y:1.133,r:3}]
"Iceland  (Europe & Central Asia)"                                      "rgba(201,192,255,0.3)"                        [{x:0.24,y:6.913,r:3}]
"Israel  (Middle East & North Africa)"                                  "rgba(82,238,65,0.3)"                          [{x:2.59,y:3.059,r:3}]
"Italy  (Europe & Central Asia)"                                        "rgba(201,192,255,0.3)"                        [{x:40.38,y:2.178,r:3}]
"Jamaica  (Latin America & Caribbean)"                                  "rgba(149,244,250,0.3)"                        [{x:0.69,y:0.901,r:3}]
"Jordan  (Middle East & North Africa)"                                  "rgba(82,238,65,0.3)"                          [{x:1000000000,y:0.837,r:3}]
"Japan  (East Asia & Pacific)"                                          "rgba(255,192,226,0.3)"                        [{x:44.3,y:2.516,r:3}]
"Kenya  (Sub-Saharan Africa)"                                           "rgba(255,85,0,0.3)"                           [{x:0.79,y:0.299,r:3}]
"Cambodia  (East Asia & Pacific)"                                       "rgba(255,192,226,0.3)"                        [{x:0.63,y:0.041,r:3}]
